Doug,Make_x,Model_x,Version,Kilometers,Engine,Fuel Type,Transmission,Year_x,City,Price,Currency,Link,Year_y,Make_y,Model_y,Styling,Acceleration,Handling,Fun Factor,Cool Factor,WEEKEND TOTAL,Features,Comfort,Quality,Practicality,Value,DAILY TOTAL,DOUGSCORE,Video Link,Filming City,Filming State,Vehicle Country
BMW M3 2021,BMW,Serie M,3.2 M3 Sportive,85495 km,3.2,Nafta,Manual,2004,San Isidro,90000,USD,https://auto.mercadolibre.com.ar/MLA-1389876825-bmw-m-3-sportive-2004-_JM,2021,BMW,M3,6,7,7,8,6,34,8,7,7,5,7,34,68,1900-01-01 05:32:00,Santa Ana,California,Germany
BMW M3 2021,BMW,Serie M,3.0 M3 431cv,57400 km,3.0,Nafta,Automática,2017,Capital Federal,90900,USD,https://auto.mercadolibre.com.ar/MLA-1494628076-bmw-m4-coupe-bmw-autopremier-_JM,2021,BMW,M3,6,7,7,8,6,34,8,7,7,5,7,34,68,1900-01-01 05:32:00,Santa Ana,California,Germany
BMW M3 2021,BMW,Serie M,3.0 M3 431cv,26000 km,3.0,Nafta,Automática,2016,Capital Federal,119000,USD,https://auto.mercadolibre.com.ar/MLA-1531907106-bmw-serie-m-30-m3-431cv-_JM,2021,BMW,M3,6,7,7,8,6,34,8,7,7,5,7,34,68,1900-01-01 05:32:00,Santa Ana,California,Germany
BMW M3 2021,BMW,Serie M,3.2 M3 Coupe,85000 km,3.2,Nafta,Manual,1994,Vicente López,48000,USD,https://auto.mercadolibre.com.ar/MLA-1384265941-bmw-serie-m-1994-32-m3-coupe-_JM,2021,BMW,M3,6,7,7,8,6,34,8,7,7,5,7,34,68,1900-01-01 05:32:00,Santa Ana,California,Germany
BMW M3 2021,BMW,Serie M,4.0 M3 Coupe 420cv,52000 km,4.0,Nafta,Automática,2009,La Matanza,67800,USD,https://auto.mercadolibre.com.ar/MLA-1524526272-bmw-serie-m-40-m3-coupe-420cv-automania-_JM,2021,BMW,M3,6,7,7,8,6,34,8,7,7,5,7,34,68,1900-01-01 05:32:00,Santa Ana,California,Germany
Ford GT 2017,Ford,Mustang,5.0 Gt 421cv,13000 km,5.0,Nafta,Manual,2017,Capital Federal,74000,USD,https://auto.mercadolibre.com.ar/MLA-1471215686-ford-mustang-50-gt-421cv-2017-_JM,2017,Ford,GT,8,10,10,10,10,48,5,2,6,1,6,20,68,17:38,Tooele,Utah,USA
Ford GT 2017,Ford,Mustang,5.0 Gt 421cv,1000 km,5.0,Nafta,Manual,2017,Avellaneda,95000,USD,https://auto.mercadolibre.com.ar/MLA-1485712636-ford-mustang-gt-50l-v8-at-2017-_JM,2017,Ford,GT,8,10,10,10,10,48,5,2,6,1,6,20,68,17:38,Tooele,Utah,USA
Ford GT 2017,Ford,Mustang,5.0 Gt 421cv,15000 km,5.0,Nafta,Manual,2017,Córdoba,74900,USD,https://auto.mercadolibre.com.ar/MLA-1385068871-ford-mustang-2017-50-gt-at-_JM,2017,Ford,GT,8,10,10,10,10,48,5,2,6,1,6,20,68,17:38,Tooele,Utah,USA
Ford GT 2017,Ford,Mustang,5.0 Gt 421cv,89000 km,5.0,Nafta,Manual,2017,Capital Federal,75000,USD,https://auto.mercadolibre.com.ar/MLA-1391411437-ford-mustang-2017-50-gt-421cv-_JM,2017,Ford,GT,8,10,10,10,10,48,5,2,6,1,6,20,68,17:38,Tooele,Utah,USA
Ford GT 2017,Ford,Mustang,5.0 Gt 421cv,31000 km,5.0,Nafta,Manual,2017,Moreno,78000,USD,https://auto.mercadolibre.com.ar/MLA-1392656723-ford-mustang-2017-50-gt-421cv-_JM,2017,Ford,GT,8,10,10,10,10,48,5,2,6,1,6,20,68,17:38,Tooele,Utah,USA
