Doug,Make_x,Model_x,Version,Kilometers,Engine,Fuel Type,Transmission,Year_x,City,Price,Currency,Link,Year_y,Make_y,Model_y,Styling,Acceleration,Handling,Fun Factor,Cool Factor,WEEKEND TOTAL,Features,Comfort,Quality,Practicality,Value,DAILY TOTAL,DOUGSCORE,Video Link,Filming City,Filming State,Vehicle Country
Mercedes-Benz GLE450 2020,Mercedes-Benz,Clase GLE,3.0 Gle450 4matic 367cv,42000 km,3.0,Nafta,Automática,2021,Pilar,230000,USD,https://auto.mercadolibre.com.ar/MLA-1393150407-mercedes-benz-clase-gle-30-gle-53-4matic-435cv-_JM,2020,Mercedes-Benz,GLE450,5,5,5,4,4,23,9,7,7,9,6,38,61,23:25,Newport Beach,California,Germany
Mercedes-Benz GLE450 2020,Mercedes-Benz,Clase GLE,3.0 Gle450 4matic 367cv,0 km,3.0,Nafta,Automática,2023,Rosario,232500,USD,https://auto.mercadolibre.com.ar/MLA-1464638596-mercedes-benz-gle-450-amg-line-fl-_JM,2020,Mercedes-Benz,GLE450,5,5,5,4,4,23,9,7,7,9,6,38,61,23:25,Newport Beach,California,Germany
Ford Raptor 2013,Ford,F-150 Raptor,3.5l Bi-turbo,20840 km,3.5,Nafta,Automática,2022,Pilar,109000,USD,https://auto.mercadolibre.com.ar/MLA-1392534103-ford-f-150-f-150-raptor-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,Ranger Raptor,2.0l Biturbo Cabina Doble 4x4,38000 km,2.0,Diésel,Automática,2022,Capital Federal,59000,USD,https://auto.mercadolibre.com.ar/MLA-1505056424-ford-ranger-raptor-2022-20l-biturbo-cabina-doble-4x4-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,Vicente López,115000,USD,https://auto.mercadolibre.com.ar/MLA-1495891516-f-150-raptor-ford-peunord-v6-4x4-ano-2022-0-km-at-35l-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,Ranger Raptor,2.0l Biturbo Cabina Doble 4x4,40000 km,2.0,Diésel,Automática,2020,Pilar,44000,USD,https://auto.mercadolibre.com.ar/MLA-1382539725-ford-ranger-raptor-20l-biturbo-cabina-doble-4x4-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,Ranger Raptor,2.0l Biturbo Cabina Doble 4x4,0 km,2.0,Diésel,Automática,2023,Vicente López,95500,USD,https://auto.mercadolibre.com.ar/MLA-1392180365-peunord-ford-ranger-raptor-2023-20l-biturbo-4x4-0-km-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,Ranger Raptor,2.0l Biturbo Cabina Doble 4x4,0 km,2.0,Diésel,Automática,2023,Capital Federal,90770,USD,https://auto.mercadolibre.com.ar/MLA-1391595631-ford-ranger-raptor-2023-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2023,Zárate,114950000,USD,https://auto.mercadolibre.com.ar/MLA-1392032417-ford-f-150-raptor-35l-bi-turbo-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,Ranger Raptor,2.0l Biturbo Cabina Doble 4x4,0 km,2.0,Diésel,Automática,2023,Pilar,110000,USD,https://auto.mercadolibre.com.ar/MLA-1391795037-ford-ranger-raptor-biturbo-cabina-doble-4x4-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,F-150,F-150 Raptor,17800 km,2.0,Diésel,Automática,2022,Capital Federal,109000,USD,https://auto.mercadolibre.com.ar/MLA-1499428022-ford-f150-raptor-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,San Isidro,101314400,USD,https://auto.mercadolibre.com.ar/MLA-1530982234-ford-f-150-raptor-pv-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,Ranger Raptor,2.0l Biturbo Cabina Doble 4x4,31000 km,2.0,Diésel,Automática,2020,General San Martín,46000,USD,https://auto.mercadolibre.com.ar/MLA-1511628728-ford-ranger-raptor-20l-biturbo-cabina-doble-4x4-unico-dueno-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,Ranger Raptor,2.0l Biturbo Cabina Doble 4x4,54000 km,2.0,Diésel,Automática,2021,Moreno,39000,USD,https://auto.mercadolibre.com.ar/MLA-1499207428-ford-ranger-raptor-20-4x4-at-2021-632025-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,F-150 Raptor,3.5l Bi-turbo,1200 km,3.5,Nafta,Automática,2023,San Miguel,128000,USD,https://auto.mercadolibre.com.ar/MLA-1391056567-ford-f-150-raptor-2023-35l-bi-turbo-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,Tigre,114950000,USD,https://auto.mercadolibre.com.ar/MLA-1532665576-ford-ranger-f-150-raptor-entrega-inmediata-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,Ranger Raptor,2.0l Biturbo Cabina Doble 4x4,52400 km,2.0,Diésel,Automática,2020,Vicente López,46000,USD,https://auto.mercadolibre.com.ar/MLA-1386641953-ford-ranger-raptor-20l-biturbo-4x4-dc-porsche-argentina-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2023,Berazategui,119000,USD,https://auto.mercadolibre.com.ar/MLA-1425608608-ford-f-150-raptor-0km-patentada-2023-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,F-150 Raptor,3.5l Bi-turbo,0 km,3.5,Nafta,Automática,2022,9 de Julio,105000,USD,https://auto.mercadolibre.com.ar/MLA-1377092028-ford-f-150-raptor-2022-35l-bi-turbo-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,F-150 Raptor,3.5l Bi-turbo,31000 km,3.5,Nafta,Automática,2020,Capital Federal,100000,USD,https://auto.mercadolibre.com.ar/MLA-1393056333-ford-f-150-raptor-2020-35l-bi-turbo-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,F-150 Raptor,3.5l Bi-turbo,500 km,3.5,Nafta,Automática,2023,Capital Federal,135000,USD,https://auto.mercadolibre.com.ar/MLA-1543220536-ford-f-150-raptor-2023-35l-bi-turbo-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,Ranger Raptor,2.0l Biturbo Cabina Doble 4x4,0 km,2.0,Diésel,Automática,2023,Almirante Brown,95000,USD,https://auto.mercadolibre.com.ar/MLA-1385293793-ford-ranger-raptor-30l-biturbo-4x4-at-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Raptor 2013,Ford,Ranger Raptor,Raptor Linea Nueva,0 km,3.0L Ecosboost V6,Nafta,Automática,2023,Lomas de Zamora,95625,USD,https://auto.mercadolibre.com.ar/MLA-1436076000-ford-ranger-raptor-2023-4x4-v6-at-0km-sin-rodar-_JM,2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,39000 km,5.0,Nafta,Manual,2018,Pilar,80000,USD,https://auto.mercadolibre.com.ar/MLA-1529131972-ford-mustang-50-gt-421cv-_JM,2018,Ford,Mustang GT,6,8,7,7,5,33,6,5,6,4,7,28,61,23:46,Philadelphia,Pennsylvania,USA
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,13000 km,5.0,Nafta,Manual,2017,Capital Federal,74000,USD,https://auto.mercadolibre.com.ar/MLA-1471215686-ford-mustang-50-gt-421cv-2017-_JM,2018,Ford,Mustang GT,6,8,7,7,5,33,6,5,6,4,7,28,61,23:46,Philadelphia,Pennsylvania,USA
Ford Mustang GT 2018,Ford,Mustang,5.0 Coupe V8 Gt,30000 km,5.0,Nafta,Manual,2006,San Isidro,55000,USD,https://auto.mercadolibre.com.ar/MLA-1482904010-ford-mustang-2006-50-coupe-v8-gt-_JM,2018,Ford,Mustang GT,6,8,7,7,5,33,6,5,6,4,7,28,61,23:46,Philadelphia,Pennsylvania,USA
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,1000 km,5.0,Nafta,Manual,2017,Avellaneda,95000,USD,https://auto.mercadolibre.com.ar/MLA-1485712636-ford-mustang-gt-50l-v8-at-2017-_JM,2018,Ford,Mustang GT,6,8,7,7,5,33,6,5,6,4,7,28,61,23:46,Philadelphia,Pennsylvania,USA
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,15000 km,5.0,Nafta,Manual,2017,Córdoba,74900,USD,https://auto.mercadolibre.com.ar/MLA-1385068871-ford-mustang-2017-50-gt-at-_JM,2018,Ford,Mustang GT,6,8,7,7,5,33,6,5,6,4,7,28,61,23:46,Philadelphia,Pennsylvania,USA
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,500 km,5.0,Nafta,Manual,2022,Córdoba,115000,USD,https://auto.mercadolibre.com.ar/MLA-1391945893-mustang-mach-1-pack-_JM,2018,Ford,Mustang GT,6,8,7,7,5,33,6,5,6,4,7,28,61,23:46,Philadelphia,Pennsylvania,USA
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,89000 km,5.0,Nafta,Manual,2017,Capital Federal,75000,USD,https://auto.mercadolibre.com.ar/MLA-1391411437-ford-mustang-2017-50-gt-421cv-_JM,2018,Ford,Mustang GT,6,8,7,7,5,33,6,5,6,4,7,28,61,23:46,Philadelphia,Pennsylvania,USA
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,31000 km,5.0,Nafta,Manual,2017,Moreno,78000,USD,https://auto.mercadolibre.com.ar/MLA-1392656723-ford-mustang-2017-50-gt-421cv-_JM,2018,Ford,Mustang GT,6,8,7,7,5,33,6,5,6,4,7,28,61,23:46,Philadelphia,Pennsylvania,USA
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,10300 km,5.0,Nafta,Manual,2019,San Justo,78000,USD,https://auto.mercadolibre.com.ar/MLA-1543098416-ford-mustang-2017-50-gt-421cv-_JM,2018,Ford,Mustang GT,6,8,7,7,5,33,6,5,6,4,7,28,61,23:46,Philadelphia,Pennsylvania,USA
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,700 km,5.0,Nafta,Manual,2023,Tigre,109000,USD,https://auto.mercadolibre.com.ar/MLA-1544239862-ford-mustang-2023-50-gt-421cv-_JM,2018,Ford,Mustang GT,6,8,7,7,5,33,6,5,6,4,7,28,61,23:46,Philadelphia,Pennsylvania,USA
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,1000 km,5.0,Nafta,Manual,2022,Capital Federal,90000,USD,https://auto.mercadolibre.com.ar/MLA-1543915482-ford-mustang-_JM,2018,Ford,Mustang GT,6,8,7,7,5,33,6,5,6,4,7,28,61,23:46,Philadelphia,Pennsylvania,USA
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,39900 km,5.0,Nafta,Manual,2016,Capital Federal,66999,USD,https://auto.mercadolibre.com.ar/MLA-1383962827-ford-mustang-2016-50-gt-421cv-_JM,2018,Ford,Mustang GT,6,8,7,7,5,33,6,5,6,4,7,28,61,23:46,Philadelphia,Pennsylvania,USA
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,0 km,5.0,Nafta,Manual,2023,Bahía Blanca,110000,USD,https://auto.mercadolibre.com.ar/MLA-1507013816-ford-mustang-mach-1-_JM,2018,Ford,Mustang GT,6,8,7,7,5,33,6,5,6,4,7,28,61,23:46,Philadelphia,Pennsylvania,USA
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,0 km,5.0,Nafta,Manual,2023,Del Viso,120000,USD,https://auto.mercadolibre.com.ar/MLA-1377608241-ford-mustang-2023-50-gt-421cv-_JM,2018,Ford,Mustang GT,6,8,7,7,5,33,6,5,6,4,7,28,61,23:46,Philadelphia,Pennsylvania,USA
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,100000 km,5.0,Nafta,Manual,2017,Vicente López,67000,USD,https://auto.mercadolibre.com.ar/MLA-1392560069-ford-mustang-2017-50-gt-421cv-_JM,2018,Ford,Mustang GT,6,8,7,7,5,33,6,5,6,4,7,28,61,23:46,Philadelphia,Pennsylvania,USA
Ford Mustang GT 2018,Ford,Mustang,5.0 Coupe V8 Gt,60000 km,5.0,Nafta,Manual,2006,San Vicente,65000,USD,https://auto.mercadolibre.com.ar/MLA-1504540422-ford-mustang-gt-convertible-_JM,2018,Ford,Mustang GT,6,8,7,7,5,33,6,5,6,4,7,28,61,23:46,Philadelphia,Pennsylvania,USA
Ford Mustang GT 2018,Ford,Mustang,GT Shelby,65423 km,V8 4.6L,Nafta,Manual,2008,Vicente López,56900,USD,https://auto.mercadolibre.com.ar/MLA-1467693170-ford-mustang-_JM,2018,Ford,Mustang GT,6,8,7,7,5,33,6,5,6,4,7,28,61,23:46,Philadelphia,Pennsylvania,USA
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,18000 km,5.0,Nafta,Manual,2017,25 de Mayo,74900,USD,https://auto.mercadolibre.com.ar/MLA-1384949657-ford-mustang-gt-_JM,2018,Ford,Mustang GT,6,8,7,7,5,33,6,5,6,4,7,28,61,23:46,Philadelphia,Pennsylvania,USA
Chevrolet SS 2017,Chevrolet,Camaro,6.2 Coupe Ss V8,38000 km,6.2,Nafta,Manual,2017,Tigre,90000,USD,https://auto.mercadolibre.com.ar/MLA-1386665787-chevrolet-camaro-2017-_JM,2017,Chevrolet,SS,6,6,6,6,5,29,6,6,6,5,9,32,61,22:26,Fort Lee,New Jersey,USA
Chevrolet SS 2017,Chevrolet,Camaro,6.2 Coupe Ss V8,40000 km,6.2,Nafta,Manual,2017,Tigre,90000,USD,https://auto.mercadolibre.com.ar/MLA-1386359643-chevrolet-camaro-ss-_JM,2017,Chevrolet,SS,6,6,6,6,5,29,6,6,6,5,9,32,61,22:26,Fort Lee,New Jersey,USA
Chevrolet SS 2017,Chevrolet,Camaro,6.2 Coupe Ss V8,20214 km,6.2,Nafta,Manual,2017,Luján de Cuyo,80000,USD,https://auto.mercadolibre.com.ar/MLA-1528021982-chevrolet-camaro-2017-62-coupe-ss-v8-_JM,2017,Chevrolet,SS,6,6,6,6,5,29,6,6,6,5,9,32,61,22:26,Fort Lee,New Jersey,USA
BMW M440i 2021,BMW,Serie 4,M440i,0 km,374,Nafta,Automática,2022,Vicente López,144400,USD,https://auto.mercadolibre.com.ar/MLA-1144146228-bmw-serie-4-m440i-2022-_JM,2021,BMW,M440i,5,7,6,6,5,29,7,7,7,4,6,31,60,23:12:00,Santa Ana,California,Germany
BMW M440i 2021,BMW,S 1000 RR,M440i,0 km,4 tiempos,Nafta,Automática,2023,Vicente López,46900,USD,https://moto.mercadolibre.com.ar/MLA-1145687515-bmw-s-1000-rr-_JM,2021,BMW,M440i,5,7,6,6,5,29,7,7,7,4,6,31,60,23:12:00,Santa Ana,California,Germany
BMW M440i 2021,BMW,R18,M440i,0 km,4 tiempos,Nafta,Manual,2023,Vicente López,47300,USD,https://moto.mercadolibre.com.ar/MLA-1148568116-bmw-r-18-_JM,2021,BMW,M440i,5,7,6,6,5,29,7,7,7,4,6,31,60,23:12:00,Santa Ana,California,Germany
BMW M440i 2021,BMW,coupe 645 caja tript,M440i,68000 km,4 tiempos,Nafta,Manual,2005,Villa Carlos Paz,45000,USD,https://auto.mercadolibre.com.ar/MLA-831084159-bmw-coupe-645-caja-tript-_JM,2021,BMW,M440i,5,7,6,6,5,29,7,7,7,4,6,31,60,23:12:00,Santa Ana,California,Germany
BMW M440i 2021,BMW,520,M440i,200000 km,4 tiempos,Nafta,Manual,1981,Godoy Cruz,9000,USD,https://auto.mercadolibre.com.ar/MLA-1181869524-bmw-serie-5-520-impecable-_JM,2021,BMW,M440i,5,7,6,6,5,29,7,7,7,4,6,31,60,23:12:00,Santa Ana,California,Germany
Audi SQ5 2021,Audi,SQ5,3.0 Tfsi Stronic 354cv,47500 km,3.0,Nafta,Automática,2018,Capital Federal,85000,USD,https://auto.mercadolibre.com.ar/MLA-1503166078-audi-sq5-2018-30-tfsi-stronic-354cv-cassano-automobili-_JM,2021,Audi,SQ5,6,6,5,4,4,25,7,7,7,7,6,34,59,20:20:00,San Diego,California,Germany
Audi SQ5 2021,Audi,SQ5,3.0 Tfsi Stronic 354cv,60000 km,3.0,Nafta,Automática,2018,Pilar,88000,USD,https://auto.mercadolibre.com.ar/MLA-1528933766-audi-sq5-30-tfsi-stronic-354cv-_JM,2021,Audi,SQ5,6,6,5,4,4,25,7,7,7,7,6,34,59,20:20:00,San Diego,California,Germany
Audi SQ5 2021,Audi,SQ5,3.0 Tfsi Stronic 354cv,87000 km,3.0,Nafta,Automática,2018,Vicente López,68500,USD,https://auto.mercadolibre.com.ar/MLA-1391983123-audi-sq5-2018-30-tfsi-stronic-354cv-_JM,2021,Audi,SQ5,6,6,5,4,4,25,7,7,7,7,6,34,59,20:20:00,San Diego,California,Germany
Audi SQ5 2021,Audi,SQ5,3.0 Tfsi Stronic 354cv,87000 km,3.0,Nafta,Automática,2019,Capital Federal,74900,USD,https://auto.mercadolibre.com.ar/MLA-1391292065-audi-sq5-2019-30-tfsi-stronic-354cv-_JM,2021,Audi,SQ5,6,6,5,4,4,25,7,7,7,7,6,34,59,20:20:00,San Diego,California,Germany
Audi E-Tron Sportback 2021,Audi,E-Tron Sportback,55 S Line Quattro,0 km,1.4,Eléctrico,Automática,2020,Capital Federal,160000,USD,https://auto.mercadolibre.com.ar/MLA-1469937518-audi-e-tron-sportback-55-s-line-quattro-2020-2021-audibsas-_JM,2021,Audi,E-Tron Sportback,6,4,4,5,5,24,9,7,7,7,5,35,59,13:02:00,Costa Mesa,California,Germany
Audi E-Tron Sportback 2021,Audi,e-Tron 55 Quattro,Sportback,0 km,1.4,Eléctrico,Automática,2021,Capital Federal,157000,USD,https://auto.mercadolibre.com.ar/MLA-1138433307-audi-e-tron-sportback-55-quattro-100-electrico-_JM,2021,Audi,E-Tron Sportback,6,4,4,5,5,24,9,7,7,7,5,35,59,13:02:00,Costa Mesa,California,Germany
Audi E-Tron Sportback 2021,Audi,E-tron,Sportback 55,0 km,1.4,Eléctrico,Automática,2021,Capital Federal,160000,USD,https://auto.mercadolibre.com.ar/MLA-1458551530-audi-e-tron-sportback-55-quattro-360cv-_JM,2021,Audi,E-Tron Sportback,6,4,4,5,5,24,9,7,7,7,5,35,59,13:02:00,Costa Mesa,California,Germany
Audi E-Tron Sportback 2021,Audi,E-tron,Sportback,0 km,95 kwh,Eléctrico,Automática,2020,Capital Federal,160000,USD,https://auto.mercadolibre.com.ar/MLA-1516056464-audi-e-tron-sportback-55-s-line-quattro-100-electrico-_JM,2021,Audi,E-Tron Sportback,6,4,4,5,5,24,9,7,7,7,5,35,59,13:02:00,Costa Mesa,California,Germany
Audi E-Tron Sportback 2021,Audi,E-TRON SPORTBACK,55 S LINE QUATTRO,0 km,95 kwh,Eléctrico,Automática,2023,Capital Federal,186000,USD,https://auto.mercadolibre.com.ar/MLA-1465454316-audi-e-tron-sportback-55-s-line-quattro-auomatico-0km-2023-_JM,2021,Audi,E-Tron Sportback,6,4,4,5,5,24,9,7,7,7,5,35,59,13:02:00,Costa Mesa,California,Germany
Audi E-Tron Sportback 2021,Audi,E-tron,Sportback 55 SLine,0 km,95 kwh,Eléctrico,Automática,2023,Capital Federal,192000,USD,https://auto.mercadolibre.com.ar/MLA-1392909303-audi-e-tron-sportback-55-sline-quattro-0km-2023-_JM,2021,Audi,E-Tron Sportback,6,4,4,5,5,24,9,7,7,7,5,35,59,13:02:00,Costa Mesa,California,Germany
Audi E-Tron Sportback 2021,Audi,E-tron Sportback,55 Quattro,0 km,55,Eléctrico,Automática,2023,Quilmes,198000,USD,https://auto.mercadolibre.com.ar/MLA-1398478052-audi-e-tron-sportback-55-quattro-_JM,2021,Audi,E-Tron Sportback,6,4,4,5,5,24,9,7,7,7,5,35,59,13:02:00,Costa Mesa,California,Germany
Audi E-Tron Sportback 2021,Audi,E-tron,e-tron Sportback 55 quattro,0 km,1.4,Híbrido,Automática,2023,Capital Federal,209900,USD,https://auto.mercadolibre.com.ar/MLA-1535332128-audi-e-tron-sportback-55-quattro-2023-_JM,2021,Audi,E-Tron Sportback,6,4,4,5,5,24,9,7,7,7,5,35,59,13:02:00,Costa Mesa,California,Germany
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,27748 km,2.0,Nafta,Automática,2021,La Matanza,40000,USD,https://auto.mercadolibre.com.ar/MLA-1382580823-ford-bronco-sport-wildtrak-4wd-_JM,2021,Ford,Bronco,6,1,4,8,7,26,6,5,6,8,7,32,58,1900-01-01 15:49:00,San Diego,California,USA
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,50659 km,1.5,Nafta,Automática,2021,Avellaneda,25900,USD,https://auto.mercadolibre.com.ar/MLA-1494921466-ford-bronco-big-ben-inmaculada-sin-detalle-unico-dueno-_JM,2021,Ford,Bronco,6,1,4,8,7,26,6,5,6,8,7,32,58,1900-01-01 15:49:00,San Diego,California,USA
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,23000 km,2.0,Nafta,Automática,2021,Capital Federal,35500,USD,https://auto.mercadolibre.com.ar/MLA-1393244329-ford-bronco-wildtrak-20t-255cv-at8-_JM,2021,Ford,Bronco,6,1,4,8,7,26,6,5,6,8,7,32,58,1900-01-01 15:49:00,San Diego,California,USA
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,47100 km,1.5,Nafta,Automática,2021,Córdoba,29000,USD,https://auto.mercadolibre.com.ar/MLA-1527118768-ford-bronco-15t-sport-big-bend-_JM,2021,Ford,Bronco,6,1,4,8,7,26,6,5,6,8,7,32,58,1900-01-01 15:49:00,San Diego,California,USA
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,88000 km,2.0,Nafta,Automática,2021,Pilar,44000,USD,https://auto.mercadolibre.com.ar/MLA-1391105583-ford-bronco-sport-20-4wd-wildtrak-at8-2021-_JM,2021,Ford,Bronco,6,1,4,8,7,26,6,5,6,8,7,32,58,1900-01-01 15:49:00,San Diego,California,USA
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,29000 km,2.0,Nafta,Automática,2021,Tigre,38000,USD,https://auto.mercadolibre.com.ar/MLA-1532620906-ford-bronco-wildtrack-2021-_JM,2021,Ford,Bronco,6,1,4,8,7,26,6,5,6,8,7,32,58,1900-01-01 15:49:00,San Diego,California,USA
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,8300 km,2.0,Nafta,Automática,2021,Capital Federal,42000,USD,https://auto.mercadolibre.com.ar/MLA-1392989119-ford-bronco-sport-2021-20-4wd-wildtrak-at8-_JM,2021,Ford,Bronco,6,1,4,8,7,26,6,5,6,8,7,32,58,1900-01-01 15:49:00,San Diego,California,USA
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,68000 km,2.0,Nafta,Automática,2021,La Plata,35990,USD,https://auto.mercadolibre.com.ar/MLA-1392639207-ford-bronco-_JM,2021,Ford,Bronco,6,1,4,8,7,26,6,5,6,8,7,32,58,1900-01-01 15:49:00,San Diego,California,USA
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,55140 km,2.0,Nafta,Automática,2021,Córdoba,27330000,USD,https://auto.mercadolibre.com.ar/MLA-1384256553-bronco-20t-sport-wild-_JM,2021,Ford,Bronco,6,1,4,8,7,26,6,5,6,8,7,32,58,1900-01-01 15:49:00,San Diego,California,USA
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,24100 km,1.5,Nafta,Automática,2021,Tres Arroyos,28500,USD,https://auto.mercadolibre.com.ar/MLA-1533730752-ford-bronco-sport-2021-15-4wd-big-bend-at8-_JM,2021,Ford,Bronco,6,1,4,8,7,26,6,5,6,8,7,32,58,1900-01-01 15:49:00,San Diego,California,USA
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,32000 km,1.5,Nafta,Automática,2021,Almirante Brown,32500,USD,https://auto.mercadolibre.com.ar/MLA-1386331781-ford-bronco-sport-2021-bigbend-nueva-permuto-yoni-autos-_JM,2021,Ford,Bronco,6,1,4,8,7,26,6,5,6,8,7,32,58,1900-01-01 15:49:00,San Diego,California,USA
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,68000 km,2.0,Nafta,Automática,2021,Tigre,33000,USD,https://auto.mercadolibre.com.ar/MLA-1393479767-ford-bronco-sport-2021-20-4wd-wildtrak-at8-precio-nuevo-_JM,2021,Ford,Bronco,6,1,4,8,7,26,6,5,6,8,7,32,58,1900-01-01 15:49:00,San Diego,California,USA
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,29000 km,1.5,Nafta,Automática,2021,Capital Federal,27900,USD,https://auto.mercadolibre.com.ar/MLA-1392711545-ford-bronco-sport-2021-15-4wd-big-bend-at8-_JM,2021,Ford,Bronco,6,1,4,8,7,26,6,5,6,8,7,32,58,1900-01-01 15:49:00,San Diego,California,USA
Ford Bronco 2021,Ford,Bronco Sport,1.5 EcoBoost Big Bend AT 4WD,21647 km,1.0,Nafta,Automática,2021,Capital Federal,30590000,USD,https://auto.mercadolibre.com.ar/MLA-1383916831-ford-bronco-sport-15-ecoboost-big-bend-at-4wd-_JM,2021,Ford,Bronco,6,1,4,8,7,26,6,5,6,8,7,32,58,1900-01-01 15:49:00,San Diego,California,USA
Ford Bronco 2021,Ford,Bronco Sport,1.5 EcoBoost Big Bend AT 4WD,27398 km,1.0,Nafta,Automática,2021,Malvinas Argentinas,30040000,USD,https://auto.mercadolibre.com.ar/MLA-1383552285-ford-bronco-sport-15-ecoboost-big-bend-at-4wd-_JM,2021,Ford,Bronco,6,1,4,8,7,26,6,5,6,8,7,32,58,1900-01-01 15:49:00,San Diego,California,USA
