Doug,Make,Model,Version,Kilometers,Engine,Fuel Type,Transmission,Year,City,Price,Currency,Link
Ford Raptor 2013,Ford,F-150,F-150 Raptor,17800 km,2.0,Diésel,Automática,2022,Capital Federal,109000,USD,https://auto.mercadolibre.com.ar/MLA-1499428022-ford-f150-raptor-_JM
Ford Raptor 2013,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,San Isidro,101314400,USD,https://auto.mercadolibre.com.ar/MLA-1530982234-ford-f-150-raptor-pv-_JM
Ford Raptor 2013,Ford,Ranger Raptor,2.0l Biturbo Cabina Doble 4x4,31000 km,2.0,Diésel,Automática,2020,General San Martín,46000,USD,https://auto.mercadolibre.com.ar/MLA-1511628728-ford-ranger-raptor-20l-biturbo-cabina-doble-4x4-unico-dueno-_JM
Ford Raptor 2013,Ford,Ranger Raptor,2.0l Biturbo Cabina Doble 4x4,54000 km,2.0,Diésel,Automática,2021,Moreno,39000,USD,https://auto.mercadolibre.com.ar/MLA-1499207428-ford-ranger-raptor-20-4x4-at-2021-632025-_JM
Ford Raptor 2013,Ford,F-150 Raptor,3.5l Bi-turbo,1200 km,3.5,Nafta,Automática,2023,San Miguel,128000,USD,https://auto.mercadolibre.com.ar/MLA-1391056567-ford-f-150-raptor-2023-35l-bi-turbo-_JM
Ford Raptor 2013,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,Tigre,114950000,USD,https://auto.mercadolibre.com.ar/MLA-1532665576-ford-ranger-f-150-raptor-entrega-inmediata-_JM
Ford Raptor 2013,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,Tigre,114950000,USD,https://auto.mercadolibre.com.ar/MLA-1371938985-ford-f-150-raptor-35-v6-bi-turbo-_JM
Ford Raptor 2013,Ford,Ranger Raptor,2.0l Biturbo Cabina Doble 4x4,52400 km,2.0,Diésel,Automática,2020,Vicente López,46000,USD,https://auto.mercadolibre.com.ar/MLA-1386641953-ford-ranger-raptor-20l-biturbo-4x4-dc-porsche-argentina-_JM
Ford Raptor 2013,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2023,Berazategui,119000,USD,https://auto.mercadolibre.com.ar/MLA-1425608608-ford-f-150-raptor-0km-patentada-2023-_JM
Ford Raptor 2013,Ford,F-150 Raptor,3.5l Bi-turbo,0 km,3.5,Nafta,Automática,2022,9 de Julio,105000,USD,https://auto.mercadolibre.com.ar/MLA-1377092028-ford-f-150-raptor-2022-35l-bi-turbo-_JM
Ford Raptor 2013,Ford,F-150 Raptor,3.5l Bi-turbo,31000 km,3.5,Nafta,Automática,2020,Capital Federal,100000,USD,https://auto.mercadolibre.com.ar/MLA-1393056333-ford-f-150-raptor-2020-35l-bi-turbo-_JM
Ford Raptor 2013,Ford,F-150 Raptor,3.5l Bi-turbo,8000 km,3.5,Nafta,Automática,2022,Vicente López,120000,USD,https://auto.mercadolibre.com.ar/MLA-1544182494-ford-f-150-raptor-2022-35l-bi-turbo-linea-nueva-_JM
Ford Raptor 2013,Ford,Ranger Raptor,2.0l Biturbo Cabina Doble 4x4,0 km,2.0,Diésel,Automática,2022,9 de Julio,64000000,USD,https://auto.mercadolibre.com.ar/MLA-1436537894-ford-ranger-raptor-2022-20l-biturbo-cabina-doble-4x4-_JM
Ford Raptor 2013,Ford,F-150 Raptor,3.5l Bi-turbo,500 km,3.5,Nafta,Automática,2023,Capital Federal,135000,USD,https://auto.mercadolibre.com.ar/MLA-1543220536-ford-f-150-raptor-2023-35l-bi-turbo-_JM
Ford Raptor 2013,Ford,Ranger Raptor,2.0l Biturbo Cabina Doble 4x4,0 km,2.0,Diésel,Automática,2023,Almirante Brown,95000,USD,https://auto.mercadolibre.com.ar/MLA-1385293793-ford-ranger-raptor-30l-biturbo-4x4-at-_JM
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,39000 km,5.0,Nafta,Manual,2018,Pilar,80000,USD,https://auto.mercadolibre.com.ar/MLA-1529131972-ford-mustang-50-gt-421cv-_JM
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,0 km,5.0,Nafta,Manual,2023,Capital Federal,81491000,USD,https://auto.mercadolibre.com.ar/MLA-1368081541-ford-mustang-50-gt-v8-466cv-at10-_JM
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,13000 km,5.0,Nafta,Manual,2017,Capital Federal,74000,USD,https://auto.mercadolibre.com.ar/MLA-1471215686-ford-mustang-50-gt-421cv-2017-_JM
Ford Mustang GT 2018,Ford,Mustang,5.0 Coupe V8 Gt,30000 km,5.0,Nafta,Manual,2006,San Isidro,55000,USD,https://auto.mercadolibre.com.ar/MLA-1482904010-ford-mustang-2006-50-coupe-v8-gt-_JM
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,1000 km,5.0,Nafta,Manual,2017,Avellaneda,95000,USD,https://auto.mercadolibre.com.ar/MLA-1485712636-ford-mustang-gt-50l-v8-at-2017-_JM
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,15000 km,5.0,Nafta,Manual,2017,Córdoba,74900,USD,https://auto.mercadolibre.com.ar/MLA-1385068871-ford-mustang-2017-50-gt-at-_JM
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,47000 km,5.0,Nafta,Manual,2016,Mar del Plata,70000,USD,https://auto.mercadolibre.com.ar/MLA-1387137983-ford-mustang-gt-2016-_JM
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,500 km,5.0,Nafta,Manual,2022,Córdoba,115000,USD,https://auto.mercadolibre.com.ar/MLA-1391945893-mustang-mach-1-pack-_JM
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,89000 km,5.0,Nafta,Manual,2017,Capital Federal,75000,USD,https://auto.mercadolibre.com.ar/MLA-1391411437-ford-mustang-2017-50-gt-421cv-_JM
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,31000 km,5.0,Nafta,Manual,2017,Moreno,78000,USD,https://auto.mercadolibre.com.ar/MLA-1392656723-ford-mustang-2017-50-gt-421cv-_JM
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,10300 km,5.0,Nafta,Manual,2019,San Justo,78000,USD,https://auto.mercadolibre.com.ar/MLA-1543098416-ford-mustang-2017-50-gt-421cv-_JM
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,700 km,5.0,Nafta,Manual,2023,Tigre,109000,USD,https://auto.mercadolibre.com.ar/MLA-1544239862-ford-mustang-2023-50-gt-421cv-_JM
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,1000 km,5.0,Nafta,Manual,2022,Capital Federal,90000,USD,https://auto.mercadolibre.com.ar/MLA-1543915482-ford-mustang-_JM
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,39900 km,5.0,Nafta,Manual,2016,Capital Federal,66999,USD,https://auto.mercadolibre.com.ar/MLA-1383962827-ford-mustang-2016-50-gt-421cv-_JM
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,0 km,5.0,Nafta,Manual,2023,Bahía Blanca,110000,USD,https://auto.mercadolibre.com.ar/MLA-1507013816-ford-mustang-mach-1-_JM
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,0 km,5.0,Nafta,Manual,2023,Del Viso,120000,USD,https://auto.mercadolibre.com.ar/MLA-1377608241-ford-mustang-2023-50-gt-421cv-_JM
Ford Mustang GT 2018,Ford,Mustang,5.0 Gt 421cv,100000 km,5.0,Nafta,Manual,2017,Vicente López,67000,USD,https://auto.mercadolibre.com.ar/MLA-1392560069-ford-mustang-2017-50-gt-421cv-_JM
Ford Mustang GT 2018,Ford,Mustang,5.0 Coupe V8 Gt,60000 km,5.0,Nafta,Manual,2006,San Vicente,65000,USD,https://auto.mercadolibre.com.ar/MLA-1504540422-ford-mustang-gt-convertible-_JM
Ford Mustang GT 2018,Ford,Mustang,GT Shelby,65423 km,V8 4.6L,Nafta,Manual,2008,Vicente López,56900,USD,https://auto.mercadolibre.com.ar/MLA-1467693170-ford-mustang-_JM
Chevrolet SS 2017,Chevrolet,Camaro,6.2 Coupe Ss V8,38000 km,6.2,Nafta,Manual,2017,Tigre,90000,USD,https://auto.mercadolibre.com.ar/MLA-1386665787-chevrolet-camaro-2017-_JM
Chevrolet SS 2017,Chevrolet,Camaro,6.2 Coupe Ss V8,40000 km,6.2,Nafta,Manual,2017,Tigre,90000,USD,https://auto.mercadolibre.com.ar/MLA-1386359643-chevrolet-camaro-ss-_JM
Chevrolet SS 2017,Chevrolet,Camaro,6.2 Coupe Ss V8,20214 km,6.2,Nafta,Manual,2017,Luján de Cuyo,80000,USD,https://auto.mercadolibre.com.ar/MLA-1528021982-chevrolet-camaro-2017-62-coupe-ss-v8-_JM
BMW M440i 2021,BMW,Serie 4,M440i,0 km,374,Nafta,Automática,2022,Vicente López,144400,USD,https://auto.mercadolibre.com.ar/MLA-1144146228-bmw-serie-4-m440i-2022-_JM
BMW M440i 2021,BMW,S 1000 RR,M440i,0 km,4 tiempos,Nafta,Automática,2023,Vicente López,46900,USD,https://moto.mercadolibre.com.ar/MLA-1145687515-bmw-s-1000-rr-_JM
BMW M440i 2021,BMW,R18,M440i,0 km,4 tiempos,Nafta,Manual,2023,Vicente López,47300,USD,https://moto.mercadolibre.com.ar/MLA-1148568116-bmw-r-18-_JM
BMW M440i 2021,BMW,coupe 645 caja tript,M440i,68000 km,4 tiempos,Nafta,Manual,2005,Villa Carlos Paz,45000,USD,https://auto.mercadolibre.com.ar/MLA-831084159-bmw-coupe-645-caja-tript-_JM
BMW M440i 2021,BMW,520,M440i,200000 km,4 tiempos,Nafta,Manual,1981,Godoy Cruz,9000,USD,https://auto.mercadolibre.com.ar/MLA-1181869524-bmw-serie-5-520-impecable-_JM
Audi SQ5 2021,Audi,SQ5,3.0 Tfsi Stronic 354cv,47500 km,3.0,Nafta,Automática,2018,Capital Federal,85000,USD,https://auto.mercadolibre.com.ar/MLA-1503166078-audi-sq5-2018-30-tfsi-stronic-354cv-cassano-automobili-_JM
Audi SQ5 2021,Audi,SQ5,3.0 Tfsi Stronic 354cv,60000 km,3.0,Nafta,Automática,2018,Pilar,88000,USD,https://auto.mercadolibre.com.ar/MLA-1528933766-audi-sq5-30-tfsi-stronic-354cv-_JM
Audi SQ5 2021,Audi,SQ5,3.0 Tfsi Stronic 354cv,87000 km,3.0,Nafta,Automática,2018,Vicente López,68500,USD,https://auto.mercadolibre.com.ar/MLA-1391983123-audi-sq5-2018-30-tfsi-stronic-354cv-_JM
Audi SQ5 2021,Audi,SQ5,3.0 Tfsi Stronic 354cv,87000 km,3.0,Nafta,Automática,2019,Capital Federal,74900,USD,https://auto.mercadolibre.com.ar/MLA-1391292065-audi-sq5-2019-30-tfsi-stronic-354cv-_JM
Audi E-Tron Sportback 2021,Audi,E-Tron Sportback,55 S Line Quattro,0 km,1.4,Eléctrico,Automática,2020,Capital Federal,160000,USD,https://auto.mercadolibre.com.ar/MLA-1469937518-audi-e-tron-sportback-55-s-line-quattro-2020-2021-audibsas-_JM
Audi E-Tron Sportback 2021,Audi,e-Tron 55 Quattro,Sportback,0 km,1.4,Eléctrico,Automática,2021,Capital Federal,157000,USD,https://auto.mercadolibre.com.ar/MLA-1138433307-audi-e-tron-sportback-55-quattro-100-electrico-_JM
Audi E-Tron Sportback 2021,Audi,E-tron,Sportback 55,0 km,1.4,Eléctrico,Automática,2021,Capital Federal,160000,USD,https://auto.mercadolibre.com.ar/MLA-1458551530-audi-e-tron-sportback-55-quattro-360cv-_JM
Audi E-Tron Sportback 2021,Audi,E-tron,Sportback,0 km,95 kwh,Eléctrico,Automática,2020,Capital Federal,160000,USD,https://auto.mercadolibre.com.ar/MLA-1516056464-audi-e-tron-sportback-55-s-line-quattro-100-electrico-_JM
Audi E-Tron Sportback 2021,Audi,E-TRON SPORTBACK,55 S LINE QUATTRO,0 km,95 kwh,Eléctrico,Automática,2023,Capital Federal,186000,USD,https://auto.mercadolibre.com.ar/MLA-1465454316-audi-e-tron-sportback-55-s-line-quattro-auomatico-0km-2023-_JM
Audi E-Tron Sportback 2021,Audi,E-tron,Sportback 55 SLine,0 km,95 kwh,Eléctrico,Automática,2023,Capital Federal,192000,USD,https://auto.mercadolibre.com.ar/MLA-1392909303-audi-e-tron-sportback-55-sline-quattro-0km-2023-_JM
Audi E-Tron Sportback 2021,Audi,E-tron Sportback,55 Quattro,0 km,55,Eléctrico,Automática,2023,Quilmes,198000,USD,https://auto.mercadolibre.com.ar/MLA-1398478052-audi-e-tron-sportback-55-quattro-_JM
Audi E-Tron Sportback 2021,Audi,E-tron,e-tron Sportback 55 quattro,0 km,40 tfsi 190 cv,Híbrido,Automática,2023,Capital Federal,209900,USD,https://auto.mercadolibre.com.ar/MLA-1535332128-audi-e-tron-sportback-55-quattro-2023-_JM
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,27748 km,2.0,Nafta,Automática,2021,La Matanza,40000,USD,https://auto.mercadolibre.com.ar/MLA-1382580823-ford-bronco-sport-wildtrak-4wd-_JM
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,50659 km,1.5,Nafta,Automática,2021,Avellaneda,25900,USD,https://auto.mercadolibre.com.ar/MLA-1494921466-ford-bronco-big-ben-inmaculada-sin-detalle-unico-dueno-_JM
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,68000 km,2.0 turbo,Nafta,Automática,2021,Capital Federal,35990,USD,https://auto.mercadolibre.com.ar/MLA-1506976680-ford-bronco-2021-wild-track-20-t-sport-abasto-motors-_JM
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,23000 km,2.0,Nafta,Automática,2021,Capital Federal,35500,USD,https://auto.mercadolibre.com.ar/MLA-1393244329-ford-bronco-wildtrak-20t-255cv-at8-_JM
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,47100 km,1.5,Nafta,Automática,2021,Córdoba,29000,USD,https://auto.mercadolibre.com.ar/MLA-1527118768-ford-bronco-15t-sport-big-bend-_JM
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,88000 km,2.0,Nafta,Automática,2021,Pilar,44000,USD,https://auto.mercadolibre.com.ar/MLA-1391105583-ford-bronco-sport-20-4wd-wildtrak-at8-2021-_JM
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,29000 km,2.0,Nafta,Automática,2021,Tigre,38000,USD,https://auto.mercadolibre.com.ar/MLA-1532620906-ford-bronco-wildtrack-2021-_JM
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,8300 km,2.0,Nafta,Automática,2021,Capital Federal,42000,USD,https://auto.mercadolibre.com.ar/MLA-1392989119-ford-bronco-sport-2021-20-4wd-wildtrak-at8-_JM
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,68000 km,2.0,Nafta,Automática,2021,La Plata,35990,USD,https://auto.mercadolibre.com.ar/MLA-1392639207-ford-bronco-_JM
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,55140 km,2.0,Nafta,Automática,2021,Córdoba,27330000,USD,https://auto.mercadolibre.com.ar/MLA-1384256553-bronco-20t-sport-wild-_JM
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,24100 km,1.5,Nafta,Automática,2021,Tres Arroyos,28500,USD,https://auto.mercadolibre.com.ar/MLA-1533730752-ford-bronco-sport-2021-15-4wd-big-bend-at8-_JM
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,22650 km,1.5,Nafta,Automática,2021,Capital Federal,30000,USD,https://auto.mercadolibre.com.ar/MLA-1390191129-ford-bronco-sport-2021-15-4wd-big-bend-at8-_JM
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,32000 km,1.5,Nafta,Automática,2021,Almirante Brown,32500,USD,https://auto.mercadolibre.com.ar/MLA-1386331781-ford-bronco-sport-2021-bigbend-nueva-permuto-yoni-autos-_JM
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,29000 km,1.5,Nafta,Automática,2021,Capital Federal,27900,USD,https://auto.mercadolibre.com.ar/MLA-1392711545-ford-bronco-sport-2021-15-4wd-big-bend-at8-_JM
Ford Bronco 2021,Ford,Bronco Sport,1.5 EcoBoost Big Bend AT 4WD,21647 km,1.0,Nafta,Automática,2021,Capital Federal,30590000,USD,https://auto.mercadolibre.com.ar/MLA-1383916831-ford-bronco-sport-15-ecoboost-big-bend-at-4wd-_JM
Ford Bronco 2021,Ford,Bronco Sport,1.5 EcoBoost Big Bend AT 4WD,27398 km,1.0,Nafta,Automática,2021,Malvinas Argentinas,30040000,USD,https://auto.mercadolibre.com.ar/MLA-1383552285-ford-bronco-sport-15-ecoboost-big-bend-at-4wd-_JM
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,50000 km,2.0,Nafta,Automática,2021,Capital Federal,36900,USD,https://auto.mercadolibre.com.ar/MLA-1384579935-ford-bronco-20-sport-wildtrack-at-4wd-2021-_JM
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,20000 km,1.5,Nafta,Automática,2021,Capital Federal,28900,USD,https://auto.mercadolibre.com.ar/MLA-1384592369-ford-bronco-big-bend-4wd-at-2021-_JM
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,27000 km,1.5,Nafta,Automática,2021,Godoy Cruz,29000000,USD,https://auto.mercadolibre.com.ar/MLA-1391957755-bronco-big-bend-_JM
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,16000 km,1.5,Nafta,Automática,2021,Tres de febrero,29900,USD,https://auto.mercadolibre.com.ar/MLA-1510619898-ford-bronco-sport-2021-15-4wd-big-bend-at8-_JM
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,50995 km,2.0,Nafta,Automática,2021,Córdoba,29280000,USD,https://auto.mercadolibre.com.ar/MLA-1539646256-bronco-20t-sport-wildtrak-_JM
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,27000 km,1.5,Nafta,Automática,2021,Córdoba,30450000,USD,https://auto.mercadolibre.com.ar/MLA-1482938776-ford-bronco-sport-2021-15-4wd-big-bend-at8-_JM
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,14000 km,2.0,Nafta,Automática,2021,Capital Federal,43000,USD,https://auto.mercadolibre.com.ar/MLA-1393340605-ford-bronco-sport-20-4wd-wildtrak-at8-_JM
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,27500 km,1.5,Nafta,Automática,2021,Villa María,32900,USD,https://auto.mercadolibre.com.ar/MLA-1543915054-ford-bronco-sport-big-ben-_JM
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,30000 km,2.0,Nafta,Automática,2021,Lomas de Zamora,38200,USD,https://auto.mercadolibre.com.ar/MLA-1488697024-ford-bronco-sport-wildtrak-20l-2021-automotores-gps-_JM
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,44000 km,2.0,Nafta,Automática,2021,Capital Federal,32000,USD,https://auto.mercadolibre.com.ar/MLA-1545011872-ford-bronco-wild-track-2021-44000-km-blanca-impecable-_JM
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,43000 km,2.0,Nafta,Automática,2021,Avellaneda,42000,USD,https://auto.mercadolibre.com.ar/MLA-1488727326-ford-bronco-sport-2021-20-4wd-wildtrak-at8-_JM
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,89000 km,2.0,Nafta,Automática,2021,Pilar,40000,USD,https://auto.mercadolibre.com.ar/MLA-1504538108-ford-bronco-sport-2021-20-4wd-wildtrak-at8-_JM
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,89000 km,2.0,Nafta,Automática,2021,Pilar,40500,USD,https://auto.mercadolibre.com.ar/MLA-1470728974-ford-bronco-sport-2021-20-4wd-wildtrak-at8-_JM
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,70000 km,1.5,Nafta,Automática,2021,San Isidro,30000,USD,https://auto.mercadolibre.com.ar/MLA-1389813333-ford-bronco-sport-2021-15-4wd-big-bend-at8-_JM
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,40000 km,1.5,Nafta,Automática,2021,Berazategui,35000,USD,https://auto.mercadolibre.com.ar/MLA-1520718456-ford-bronco-sport-2021-15-4wd-big-bend-at8-_JM
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,50000 km,2.0,Nafta,Automática,2021,Lomas de Zamora,35000,USD,https://auto.mercadolibre.com.ar/MLA-1391027329-ford-bronco-sport-2021-20-4wd-wildtrak-at8-_JM
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,38000 km,1.5,Nafta,Automática,2021,San Miguel,30000,USD,https://auto.mercadolibre.com.ar/MLA-1523568526-ford-bronco-sport-2021-15-4wd-big-bend-at8-_JM
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,30000 km,1.5,Nafta,Automática,2021,Iriondo,34000,USD,https://auto.mercadolibre.com.ar/MLA-1391406851-bronco-big-bend-15l-at-2021-_JM
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,22000 km,1.5,Nafta,Automática,2021,La Plata,31800,USD,https://auto.mercadolibre.com.ar/MLA-1393012037-ford-bronco-sport-big-bend-aut-15-ano-2021-villarautoslp-_JM
Ford Bronco 2021,Ford,BIG BEND,Bronco Sport 1.5L,2000 km,1.5,Nafta,Automática,2021,Vicente López,38000,USD,https://auto.mercadolibre.com.ar/MLA-1391675269-ford-bronco-sport-big-ben-bronco-sport-15l-_JM
Ford Bronco 2021,Ford,Bronco Sport,1.5 4Wd Big Bend At8,30000 km,1.5,Nafta,Automática,2021,Capital Federal,36500,USD,https://auto.mercadolibre.com.ar/MLA-1391772613-ford-bronco-sport-2021-15-4wd-big-bend-at8-_JM
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,110000 km,2.0,Nafta,Automática,2021,Corrientes,31000,USD,https://auto.mercadolibre.com.ar/MLA-1392377769-ford-bronco-sport-2021-20-4wd-wildtrak-at8-_JM
Ford Bronco 2021,Ford,Bronco Sport,2.0 4Wd Wildtrak At8,44000 km,2.0,Nafta,Automática,2021,Moreno,27000000,USD,https://auto.mercadolibre.com.ar/MLA-1392801153-ford-bronco-sport-2021-20-4wd-wildtrak-at8-_JM
Jeep Grand Cherokee SRT8 2010,Jeep,Grand Cherokee,Srt8,68000 km,6.1,Nafta,Automática,2011,La Plata,49000,USD,https://auto.mercadolibre.com.ar/MLA-1503346632-jeep-grand-cherokee-srt8-_JM
Audi Q7 3.0 T 2018,Audi,Q7,3.0 Tfsi 333cv Tiptronic Quattro,0 km,3.0,Nafta,Automática,2023,San Isidro,154000,USD,https://auto.mercadolibre.com.ar/MLA-1520622158-audi-q7-55tfsi-mild-hybrid-s-line-quattro-_JM
Audi Q7 3.0 T 2018,Audi,Q7,3.0 Tfsi 333cv Tiptronic Quattro,0 km,3.0,Nafta,Automática,2023,San Isidro,159999,USD,https://auto.mercadolibre.com.ar/MLA-1390146509-audi-q7-55-s-line-quattro-340cv-0-km-2023-stock-norden-_JM
Audi Q7 3.0 T 2018,Audi,Q7,3.0 Tdi 249cv Tiptronic Quattro,99000 km,3.0,Diésel,Automática,2017,Capital Federal,67000,USD,https://auto.mercadolibre.com.ar/MLA-1383564925-audi-q7-2017-30tdi-quattro-2017-speed-motors-_JM
Audi Q7 3.0 T 2018,Audi,Q7,3.0 Tfsi 333cv Tiptronic Quattro,140000 km,3.0,Nafta,Automática,2012,Vicente López,26500,USD,https://auto.mercadolibre.com.ar/MLA-1384849853-audi-q7-30-tfsi-333cv-tiptronic-quattro-_JM
Audi Q7 3.0 T 2018,Audi,Q7,3.0 Tfsi 333cv Tiptronic Quattro,75000 km,3.0,Nafta,Automática,2012,Capital Federal,45000,USD,https://auto.mercadolibre.com.ar/MLA-1467866444-audi-q7-_JM
Audi Q7 3.0 T 2018,Audi,Q7,3.0 Tfsi 333cv Tiptronic Quattro,149000 km,3.0,Nafta,Automática,2012,Capital Federal,29000,USD,https://auto.mercadolibre.com.ar/MLA-1540579162-audi-q7-30-tfsi-v6-quattro-4x4-7-asientos-2012-2011-2013-_JM
Audi Q7 3.0 T 2018,Audi,Q7,3.0 Tfsi 333cv Tiptronic Quattro,160000 km,3.0,Nafta,Automática,2012,Tigre,32000,USD,https://auto.mercadolibre.com.ar/MLA-1391454561-dueno-vende-q7-30-tsfi-quattro-2012-nafta-unico-dueno-_JM
Audi Q7 3.0 T 2018,Audi,Q7,3.0 Tfsi 333cv Tiptronic Quattro,51870 km,3.0,Nafta,Automática,2019,San Fernando,67000000,USD,https://auto.mercadolibre.com.ar/MLA-1393191521-audi-q7-_JM
Audi Q7 3.0 T 2018,Audi,Q7,3.0 Tfsi 272cv Tiptronic Quattro,117390 km,3.0,Nafta,Automática,2014,Córdoba,37000,USD,https://auto.mercadolibre.com.ar/MLA-1533662988-audi-q7-30-v6t-_JM
Audi Q7 3.0 T 2018,Audi,Q7,3.0 Tfsi 333cv Tiptronic Quattro,117387 km,3.0,Nafta,Automática,2014,Córdoba,37000,USD,https://auto.mercadolibre.com.ar/MLA-1391736261-q7-30-tfsi-333cv-tiptronic-quattro-_JM
Audi Q7 3.0 T 2018,Audi,Q7,3.0 Tdi 249cv Tiptronic Quattro,72000 km,3.0,Diésel,Automática,2017,Paraná,78000,USD,https://auto.mercadolibre.com.ar/MLA-1392919759-audi-q7-quattro-at-recibo-vehiculos-de-menor-y-mayor-valor-_JM
Audi Q7 3.0 T 2018,Audi,Q7,3.0 Tfsi 333cv Tiptronic Quattro,115000 km,3.0,Nafta,Automática,2015,San Isidro,36500,USD,https://auto.mercadolibre.com.ar/MLA-1393062195-audi-q7-2015-30-tfsi-333cv-tiptronic-quattro-_JM
Audi Q7 3.0 T 2018,Audi,Q7,3.0 Tfsi 333cv Tiptronic Quattro,100000 km,3.0,Nafta,Automática,2013,Vicente López,32000,USD,https://auto.mercadolibre.com.ar/MLA-1391750093-audi-q7-2013-30-tfsi-333cv-tiptronic-quattro-_JM
Audi Q7 3.0 T 2018,Audi,Q7,3.0 Tfsi 333cv Tiptronic Quattro,90000 km,3.0,Nafta,Automática,2013,La Matanza,30000,USD,https://auto.mercadolibre.com.ar/MLA-1391047005-audi-q7-2013-30-tfsi-333cv-tiptronic-quattro-_JM
Audi Q7 3.0 T 2018,Audi,Q7,3.0 Tdi 240cv Tiptronic Quattro,105000 km,3.0,Diésel,Automática,2011,Córdoba,35500,USD,https://auto.mercadolibre.com.ar/MLA-1468450528-audi-q7-2011-30-tdi-240cv-tiptronic-quattro-_JM
Audi Q7 3.0 T 2018,Audi,Q7,3.0 Tfsi 333cv Tiptronic Quattro,38500 km,3.0,Nafta,Automática,2011,Capital Federal,36900,USD,https://auto.mercadolibre.com.ar/MLA-1543092436-audi-q7-2011-30-tfsi-333cv-tiptronic-quattro-_JM
Audi Q7 3.0 T 2018,Audi,Q7,3.0 Tfsi 333cv Tiptronic Quattro,95000 km,3.0,Nafta,Automática,2013,Capital Federal,27500,USD,https://auto.mercadolibre.com.ar/MLA-1538682482-audi-q7-2013-30-tfsi-333cv-tiptronic-quattro-_JM
